BatterSide,Umpire,PlateLocSide,PlateLocHeight,PitchCall
Left,Ump1,1.247702632,1.625079156,BallCalled
Right,Ump1,-0.07110916559,1.31948159,BallCalled
Right,Ump1,-1.4453890169999999,2.266174742,BallCalled
Right,Ump1,1.554612444,1.948164421,BallCalled
Right,Ump1,-0.1459515583,1.858659321,StrikeCalled
Right,Ump1,1.8275205140000002,2.249457722,BallCalled
Left,Ump1,1.2399282109999998,2.19770087,StrikeCalled
Left,Ump1,2.222662742,2.558259355,BallCalled
Left,Ump1,1.719363145,2.178143603,BallCalled
Left,Ump1,0.9435796141,1.7411205490000001,StrikeCalled
Left,Ump1,-0.7049482166,1.581002842,StrikeCalled
Right,Ump1,-1.167808253,0.8149426198999999,BallCalled
Left,Ump1,0.5408144657,1.82755172,StrikeCalled
Left,Ump1,-1.270809728,2.824195661,BallCalled
Left,Ump1,-0.7323003647,1.7745236780000002,BallCalled
Right,Ump1,-0.3663778055,2.579400053,StrikeCalled
Right,Ump1,0.75401705,3.6326526589999997,BallCalled
Right,Ump1,0.17777433620000002,3.6505117999999994,BallCalled
Right,Ump1,-0.4243232387,2.75085683,StrikeCalled
Left,Ump1,-0.5088338859,2.299792558,StrikeCalled
Right,Ump1,0.6983326411,2.001494235,StrikeCalled
Left,Ump1,1.208755706,1.86633707,BallCalled
Left,Ump1,-1.7351806109999999,0.8167637078,BallCalled
Left,Ump1,-0.5616482409,1.9117794,StrikeCalled
Left,Ump1,-0.8734936766,1.0345445309999999,BallCalled
Left,Ump1,-1.3412181890000001,2.409620141,BallCalled
Left,Ump1,-0.8175540490000001,2.156744082,StrikeCalled
Left,Ump1,-0.9066883963,2.117080257,StrikeCalled
Right,Ump1,0.4043250078,2.7372582530000003,StrikeCalled
Right,Ump1,-2.807860636,0.7678559716,BallCalled
Right,Ump1,-0.6543436296,0.4813077692,BallCalled
Right,Ump1,-1.712350218,0.5722060855,BallCalled
Right,Ump1,-1.097203627,1.195687868,BallCalled
Left,Ump1,-1.333396612,1.0994455440000002,BallCalled
Left,Ump1,0.3919534034,2.2863420580000002,StrikeCalled
Left,Ump1,0.8826668525,2.632435917,StrikeCalled
Left,Ump1,0.4674881186,0.6036240703,BallCalled
Right,Ump1,-0.1170444023,2.7194808260000003,StrikeCalled
Right,Ump1,-1.131714552,3.168569132,BallCalled
Right,Ump1,-0.2567591221,2.171263085,StrikeCalled
Right,Ump1,-0.42173277600000003,3.109472541,BallCalled
Right,Ump1,-0.6983758719,3.365094035,BallCalled
Left,Ump1,-0.427053849,0.8354812676000001,BallCalled
Left,Ump1,0.9929766998999999,2.813371473,StrikeCalled
Left,Ump1,1.5291602780000002,1.518048495,BallCalled
Right,Ump1,1.186023236,1.9239848380000002,BallCalled
Right,Ump1,-0.41023203049999996,0.08116128885,BallCalled
Right,Ump1,-0.3668645817,0.7031186106,BallCalled
Right,Ump1,0.5447124,0.8686537634999999,BallCalled
Left,Ump1,0.2681956005,2.072654814,StrikeCalled
Left,Ump1,1.21913448,3.0142484730000003,BallCalled
Left,Ump1,1.350610345,1.223482578,BallCalled
Left,Ump1,-0.47969603340000005,3.947021298,BallCalled
Left,Ump1,0.8050926647,0.9906821868000001,BallCalled
Left,Ump1,1.297524183,0.42284300350000004,BallCalled
Left,Ump1,0.9893322495,2.684424281,StrikeCalled
Left,Ump1,1.110247073,2.546411534,StrikeCalled
Right,Ump1,-0.4300399055,1.061083354,BallCalled
Right,Ump1,0.653338358,1.109819935,BallCalled
Right,Ump1,-0.37124223310000004,2.392195802,StrikeCalled
Left,Ump1,1.084439537,1.053627237,BallCalled
Left,Ump1,0.7082842767,2.245371026,StrikeCalled
Left,Ump1,1.4360642080000001,1.916840855,BallCalled
Left,Ump1,0.8355472755,1.813482644,StrikeCalled
Right,Ump1,-0.3677295825,2.543800865,StrikeCalled
Right,Ump1,-0.2317522057,1.7761564859999999,BallCalled
Right,Ump1,-1.230984978,3.03213257,StrikeCalled
Right,Ump1,-1.824775615,0.002292595668,BallCalled
Left,Ump1,1.3185016170000001,3.23972422,BallCalled
Left,Ump1,0.7801307124,3.209430212,StrikeCalled
Left,Ump1,1.5463564140000001,2.223842441,BallCalled
Left,Ump1,1.046186228,2.905804828,BallCalled
Right,Ump1,-0.2960116516,2.857453746,StrikeCalled
Right,Ump1,0.6307132024000001,2.592205356,StrikeCalled
Right,Ump1,-0.3061340102,2.057341046,StrikeCalled
Right,Ump1,0.5785082467,1.856575656,StrikeCalled
Right,Ump1,-0.3268290315,1.1265969409999999,BallCalled
Right,Ump1,-0.2878606844,2.008021551,StrikeCalled
Right,Ump1,1.509443207,1.944713956,BallCalled
Right,Ump1,-0.1977583841,3.911096249,BallCalled
Left,Ump1,0.1043475433,3.766360554,BallCalled
Left,Ump1,0.5107267317,3.1209352480000003,BallCalled
Left,Ump1,1.004493307,1.5091214519999998,BallCalled
Left,Ump1,0.8999602441,2.9201405910000005,StrikeCalled
Left,Ump1,-0.4431025335,1.55738127,BallCalled
Left,Ump1,0.8070334254000001,1.804480096,StrikeCalled
Left,Ump1,1.859020889,3.89331794,BallCalled
Right,Ump1,-0.2809025638,3.961141594,BallCalled
Right,Ump1,0.7472188890000001,2.818113667,StrikeCalled
Left,Ump1,1.9391885359999999,2.678015314,BallCalled
Left,Ump1,0.9787294803000001,4.270558371,BallCalled
Left,Ump1,0.22340915960000002,3.880446177,BallCalled
Left,Ump1,0.158596348,2.89234395,StrikeCalled
Left,Ump1,0.9180418118000001,2.327494964,StrikeCalled
Left,Ump1,1.8354910480000002,2.243152389,BallCalled
Left,Ump1,2.363803982,2.466818698,BallCalled
Right,Ump1,0.9883730251,3.3167603089999997,BallCalled
Right,Ump1,0.653939096,2.1102388480000003,StrikeCalled
Right,Ump1,0.7727399654000001,3.589604739,BallCalled
Left,Ump1,-0.5240533538000001,2.830767261,StrikeCalled
Left,Ump1,1.413667617,1.5125260409999999,BallCalled
Left,Ump1,1.096814984,3.254530077,BallCalled
Left,Ump1,0.4467858197,2.826176528,StrikeCalled
Left,Ump1,0.6637276816,3.100121337,StrikeCalled
Left,Ump1,0.6111441085,0.6632635647999999,BallCalled
Right,Ump1,-1.063093575,3.0996048330000003,StrikeCalled
Right,Ump1,-1.484990087,1.1421005020000001,StrikeCalled
Left,Ump1,1.035306415,3.6124884839999996,BallCalled
Left,Ump1,-0.5416744286999999,1.6848148569999999,StrikeCalled
Left,Ump1,0.1363856872,3.024061732,BallCalled
Right,Ump1,-0.48993554170000003,3.49733872,BallCalled
Right,Ump1,0.6422188425,3.826327596,BallCalled
Right,Ump1,0.5388845742,2.02077715,StrikeCalled
Left,Ump1,1.283387609,2.3865338019999998,StrikeCalled
Left,Ump1,-0.6775799562999999,0.31038825329999997,BallCalled
Left,Ump1,1.200389046,0.9472751044,BallCalled
Right,Ump1,-1.365799229,1.191049819,BallCalled
Right,Ump1,-1.558760325,0.3283433582,BallCalled
Right,Ump1,-1.34520291,-0.38025943939999995,BallCalled
Right,Ump1,-0.6087351443,1.873990779,StrikeCalled
Right,Ump1,-0.7447304114,1.471499453,StrikeCalled
Left,Ump1,0.1621241545,1.046661974,BallCalled
Left,Ump1,-0.5502042257,1.9965417619999999,StrikeCalled
Left,Ump1,0.01149537071,2.513053952,StrikeCalled
Left,Ump1,0.5006302339,2.161244994,StrikeCalled
Left,Ump1,-0.3380438951,1.050131395,BallCalled
Right,Ump1,-1.322954282,0.0713002522,BallCalled
Right,Ump1,-1.326670386,-0.11091137029999999,BallCalled
Right,Ump1,-0.6652416127,0.1718315754,BallCalled
Right,Ump1,-1.683845878,1.3598331590000001,BallCalled
Right,Ump1,-1.311970143,0.8487362813,BallCalled
Right,Ump1,-0.5423559204999999,2.613345766,StrikeCalled
Left,Ump1,-0.026059879419999998,0.9214527607999999,BallCalled
Left,Ump1,1.060826118,2.528174728,BallCalled
Right,Ump1,0.2595615462,2.0737151209999998,BallCalled
Right,Ump1,-1.205565004,1.638658715,StrikeCalled
Right,Ump1,-0.7884177455,0.9002179417,BallCalled
Right,Ump1,-0.6266823544,-1.03016343,BallCalled
Left,Ump1,1.336302028,3.564901728,BallCalled
Left,Ump1,0.12725264449999998,1.166206965,BallCalled
Left,Ump1,-0.8813950334999999,1.46320524,StrikeCalled
Left,Ump1,0.8132563793,3.26528801,BallCalled
Left,Ump1,-0.5886968109,1.9706342030000001,StrikeCalled
Left,Ump1,-0.4106461955,1.994225137,StrikeCalled
Left,Ump1,-0.2590414757,3.796789514,BallCalled
Left,Ump1,0.6272213245,2.348985159,StrikeCalled
Left,Ump1,-0.4491304565,4.025173632,BallCalled
Left,Ump1,0.7988648338,2.9100747360000003,StrikeCalled
Left,Ump1,0.5090200895,4.028794776,BallCalled
Left,Ump1,1.220927261,2.911446639,BallCalled
Right,Ump1,-0.38734304740000003,1.922884031,StrikeCalled
Left,Ump1,1.435706011,0.7275068698999999,BallCalled
Left,Ump1,0.4805269847,2.041569322,StrikeCalled
Left,Ump1,0.5364260009,1.0504262359999998,BallCalled
Left,Ump1,0.3513587996,0.9932667537000001,BallCalled
Left,Ump1,1.538875915,1.3638110819999998,BallCalled
Left,Ump1,1.117964734,2.027954071,BallCalled
Right,Ump1,1.207614583,2.835504971,BallCalled
Right,Ump1,0.5549104367000001,1.3573695630000002,BallCalled
Left,Ump1,1.6665640919999998,0.3866234739,BallCalled
Left,Ump1,1.285353669,1.928175279,BallCalled
Left,Ump1,-0.17293764579999998,1.601063731,BallCalled
Left,Ump1,0.8272626484000001,2.816658255,StrikeCalled
Left,Ump1,1.086695148,0.7129671972,BallCalled
Left,Ump1,-1.093423088,1.954234847,StrikeCalled
Left,Ump1,-1.405914122,1.564386241,BallCalled
Left,Ump1,-0.7799315991,0.7172114345999999,BallCalled
Left,Ump1,0.7636475997,2.90351834,BallCalled
Right,Ump1,-0.627487889,1.715681835,StrikeCalled
Right,Ump1,0.1541374771,1.9021167019999998,StrikeCalled
Right,Ump1,-0.7781670348999999,1.4580831909999998,BallCalled
Right,Ump1,0.9971199149,3.76343916,BallCalled
Right,Ump1,-1.059151648,1.912150241,StrikeCalled
Right,Ump1,-0.20430671379999998,3.510827073,BallCalled
Right,Ump1,0.08664812431,1.8806627059999999,StrikeCalled
Left,Ump1,1.111605951,3.473397145,BallCalled
Left,Ump1,0.9605272543000001,2.400230781,StrikeCalled
Right,Ump1,-2.075255364,0.5796938249,BallCalled
Right,Ump1,-0.4108632865,0.046912739919999995,BallCalled
Right,Ump1,-1.360114618,2.487674338,BallCalled
Right,Ump1,-0.3503785658,2.521906251,StrikeCalled
Right,Ump1,1.2304238109999999,2.856688011,BallCalled
Left,Ump1,1.151899961,1.9476406259999999,BallCalled
Left,Ump1,-1.50312668,1.4430489340000001,BallCalled
Left,Ump1,0.0898354876,1.285352026,BallCalled
Left,Ump1,0.2132169139,2.3503748509999998,StrikeCalled
Right,Ump1,-1.5452185809999999,1.714967015,BallCalled
Left,Ump1,0.2031085973,3.046935801,StrikeCalled
Left,Ump1,-0.3566115382,4.283110721,BallCalled
Right,Ump1,-1.167317034,3.159410395,BallCalled
Right,Ump1,-0.17991437300000002,3.7523730160000004,BallCalled
Left,Ump1,0.94527698,1.196312847,BallCalled
Left,Ump1,2.092692404,3.452130103,BallCalled
Left,Ump1,-0.1016339021,0.37602073189999996,BallCalled
Left,Ump1,-0.9129945348,0.539033573,BallCalled
Left,Ump1,0.7160574882999999,0.5647282223,BallCalled
Left,Ump1,-1.8527807930000002,-0.01609222422,BallCalled
Left,Ump1,-1.5095108999999998,1.5345081919999999,BallCalled
Left,Ump1,-1.743895921,0.5873661601,BallCalled
Left,Ump1,1.27117422,2.872591804,BallCalled
